solved;AADPOR_EXPL.ConcurrencySafety;AADPOR_PRED.ConcurrencySafety;AASPOR_EXPL.ConcurrencySafety;AASPOR_PRED.ConcurrencySafety;DPOR_EXPL.ConcurrencySafety;DPOR_PRED.ConcurrencySafety;SPOR_EXPL.ConcurrencySafety;SPOR_PRED.ConcurrencySafety
153;15,47;17,45;10,33;13,89;15,16;17,43;10,73;12,50
154;15,57;17,50;10,34;13,98;15,58;17,45;10,77;12,51
155;15,93;17,65;10,35;14,04;15,78;17,54;10,88;12,61
156;16,01;17,66;10,35;14,10;16,26;17,59;10,91;12,74
157;16,09;17,70;10,36;14,13;16,42;17,67;10,92;12,79
158;16,26;17,79;10,37;14,15;16,53;17,74;11,01;12,93
159;16,53;18,28;10,39;14,30;16,62;17,74;11,09;12,95
160;16,66;18,38;10,41;14,34;16,70;17,89;11,19;13,03
161;16,67;18,48;10,41;14,45;16,77;18,11;11,26;13,07
162;16,70;18,82;10,51;14,55;17,31;18,27;11,30;13,21
163;17,11;18,87;10,52;14,63;17,52;18,30;11,48;13,26
164;17,27;19,40;10,56;14,66;17,69;18,61;11,51;13,43
165;17,34;19,44;10,63;14,74;17,70;18,82;11,56;13,52
166;17,49;19,58;10,68;14,86;17,74;18,92;11,64;13,79
167;17,52;19,88;10,80;15,01;18,45;18,96;11,73;13,90
168;17,61;19,97;10,82;15,03;18,55;18,98;11,75;13,92
169;17,89;20,00;10,94;15,06;18,61;18,98;11,95;14,07
170;18,04;20,15;11,00;15,25;18,64;19,41;12,29;14,09
171;18,64;20,47;11,06;15,31;18,70;19,50;12,33;14,17
172;18,71;20,58;11,19;15,41;19,08;19,77;12,45;14,21
173;19,07;20,66;11,51;15,43;19,09;19,87;12,46;14,24
174;19,21;20,77;11,52;15,55;19,17;20,17;12,53;14,36
175;19,33;20,87;11,53;15,68;19,26;20,29;12,58;14,47
176;19,89;20,92;11,69;15,92;19,27;20,37;12,59;14,51
177;19,90;20,93;11,71;16,11;19,85;21,27;12,64;14,56
178;20,06;21,03;11,72;16,28;20,04;21,31;12,68;14,61
179;20,15;21,19;11,82;16,49;20,09;21,35;12,68;14,82
180;20,41;21,36;11,91;16,54;20,30;21,45;12,93;14,82
181;20,55;21,40;11,92;16,62;20,77;22,00;12,97;14,94
182;20,58;21,40;11,93;16,73;20,81;22,62;13,02;15,18
183;20,60;21,47;11,98;16,81;20,99;22,74;13,26;15,36
184;20,60;21,55;12,01;16,82;21,50;22,77;13,34;15,53
185;20,80;21,62;12,20;16,82;22,05;22,80;13,35;16,07
186;21,36;21,75;12,21;16,84;22,13;22,87;13,35;16,16
187;22,52;22,03;12,22;16,96;22,32;23,20;13,38;16,18
188;22,98;22,05;12,22;17,14;22,42;23,38;13,43;16,27
189;23,15;22,07;12,23;17,19;22,60;23,39;13,47;16,54
190;23,35;22,93;12,25;17,51;23,18;23,48;13,53;16,78
191;23,74;23,01;12,32;17,52;23,28;23,54;13,57;16,80
192;23,91;23,15;12,45;17,61;23,47;23,58;13,64;16,96
